"","st_louis_fed","censusyear","county","industrycode","total_output_value"
"1",1,1929,"Oktibbeha","118",16671
"2",1,1931,"Oktibbeha","118",9365
"3",0,1929,"Warren","1014",64596
"4",0,1931,"Warren","1014",43397
"5",1,1929,"Monroe","101",69514
"6",1,1931,"Monroe","101",42492
"7",0,1929,"Lincoln","136",17662
"8",0,1931,"Lincoln","136",19929
"9",0,1929,"Hinds","136",129085
"10",0,1931,"Hinds","136",86585
"11",0,1929,"Lauderdale","314",247405
"12",0,1931,"Forrest","1677",11900
"13",1,1929,"Monroe","136",24256
"14",1,1931,"Monroe","136",14046
"15",1,1929,"Monroe","119",46610
"16",1,1931,"Monroe","119",27300
"17",1,1931,"Monroe","1676",17895
"18",0,1929,"Harrison","104",227007
"19",0,1931,"Harrison","104",134524
"20",0,1929,"Hinds","103",455884
"21",0,1931,"Hinds","103",135760
"22",0,1929,"Lauderdale","103",656993
"23",1,1929,"Attala","116",137409
"24",1,1931,"Attala","114",264847
"25",0,1931,"Pearl River","317",17359
"26",0,1929,"Hancock","119",32582
"27",0,1931,"Hancock","119",33492
"28",1,1929,"Yalobusha","314",92000
"29",1,1929,"Humphreys","119",24392
"30",1,1931,"Humphreys","119",14514
"31",1,1929,"Humphreys","101",59072
"32",1,1931,"Humphreys","101",29000
"33",1,1931,"Humphreys","1677",11158
"34",0,1929,"Hinds","520",28617
"35",0,1931,"Hinds","520",33539
"36",1,1929,"Oktibbeha","111",1259691
"37",0,1931,"Warren","112",27863
"38",0,1929,"Harrison","101",18118
"39",0,1931,"Harrison","101",13687
"40",0,1929,"Harrison","136",57865
"41",0,1931,"Harrison","136",38873
"42",0,1929,"Harrison","104",31927
"43",0,1931,"Harrison","104",238200
"44",0,1929,"Harrison","114",108000
"45",0,1931,"Harrison","114",51450
"46",0,1931,"Harrison","1676",38851
"47",0,1929,"Lincoln","119",34310
"48",0,1931,"Lincoln","119",22192
"49",0,1929,"Lincoln","101",40031
"50",0,1931,"Lincoln","101",27126
"51",0,1929,"Lincoln","622",463920
"52",0,1931,"Lincoln","622",383362
"53",0,1929,"Lincoln","103",277945
"54",0,1931,"Lincoln","103",200285
"55",0,1931,"Lincoln","1676",20400
"56",1,1931,"Noxubee","119",6300
"57",0,1929,"Warren","101",169683
"58",0,1931,"Warren","101",165706
"59",0,1929,"Harrison","104",375565
"60",0,1931,"Harrison","104",89511
"61",0,1929,"Madison","119",40995
"62",0,1931,"Madison","119",28051
"63",0,1929,"Leake","101",36551
"64",0,1931,"Leake","101",16299
"65",1,1931,"Coahoma","1677",11000
"66",0,1929,"Claiborne","119",10080
"67",0,1931,"Claiborne","119",7867
"68",1,1931,"Lafayette","1677",7738
"69",1,1931,"Sunflower","1677",12776
"70",1,1931,"Sunflower","119",5617
"71",1,1929,"Coahoma","119",55023
"72",1,1931,"Coahoma","119",32700
"73",1,1929,"Coahoma","520",27950
"74",1,1931,"Coahoma","520",12998
"75",0,1931,"Lauderdale","1677",9800
"76",1,1931,"Coahoma","622",286818
"77",0,1929,"Harrison","101",93254
"78",0,1931,"Harrison","101",89414
"79",1,1929,"Alcorn","101",103172
"80",1,1931,"Alcorn","101",87522
"81",1,1929,"Lee","101",82000
"82",1,1931,"Lee","101",56870
"83",1,1929,"Leflore","101",229671
"84",1,1931,"Leflore","101",158257
"85",1,1929,"Coahoma","101",127265
"86",1,1931,"Coahoma","101",84416
"87",1,1929,"Washington","101",103200
"88",1,1931,"Washington","101",80582
"89",1,1929,"Panola","101",59595
"90",1,1931,"Panola","101",38000
"91",1,1931,"Bolivar","101",49248
"92",1,1929,"Union","101",67140
"93",1,1931,"Union","101",43907
"94",1,1929,"Lowndes","101",73086
"95",1,1931,"Lowndes","101",50257
"96",0,1929,"Marion","101",38800
"97",0,1931,"Marion","101",26943
"98",0,1931,"Marion","234a",60580
"99",1,1929,"Lowndes","118",96973
"100",1,1931,"Lowndes","118",55792
"101",1,1929,"Lowndes","1014",355186
"102",1,1931,"Lowndes","1014",190659
"103",1,1929,"Leflore","136",37770
"104",1,1931,"Leflore","136",23278
"105",1,1931,"Panola","101",6195
"106",1,1929,"Coahoma","136",262476
"107",1,1931,"Coahoma","136",177518
"108",1,1929,"Montgomery","216",290770
"109",1,1931,"Montgomery","216",219854
"110",1,1929,"Panola","622",484789
"111",1,1931,"Panola","622",293912
"112",1,1931,"Coahoma","1676",61296
"113",1,1929,"Coahoma","119",37800
"114",1,1931,"Coahoma","119",23381
"115",1,1931,"Coahoma","119",9345
"116",1,1929,"Washington","119",31100
"117",1,1931,"Washington","119",27365
"118",0,1929,"Copiah","119",52850
"119",0,1931,"Copiah","119",28740
"120",0,1931,"Hinds","136",30000
"121",0,1929,"Marion","101",16878
"122",0,1929,"Yazoo","118",27571
"123",0,1931,"Yazoo","118",13200
"124",1,1929,"Washington","101",35867
"125",1,1931,"Washington","101",14953
"126",0,1929,"Hinds","622",739962
"127",0,1931,"Hinds","622",716032
"128",0,1929,"Warren","119",84082
"129",0,1931,"Warren","119",94824
"130",0,1929,"Lauderdale","520",122660
"131",0,1931,"Lauderdale","520",180825
"132",1,1929,"Washington","118",22906
"133",1,1931,"Washington","118",28380
"134",0,1929,"Harrison","104",87000
"135",0,1931,"Harrison","104",182046
"136",0,1929,"Lauderdale","119",37800
"137",0,1931,"Lauderdale","119",45732
"138",0,1931,"Harrison","520",9881
"139",0,1931,"Marion","105",99961
"140",0,1931,"Wayne","105",85869
"141",1,1931,"Lowndes","101",35000
"142",1,1929,"Holmes","119",23096
"143",1,1931,"Holmes","119",16360
"144",0,1929,"Lauderdale","622",577972
"145",0,1931,"Lauderdale","622",428484
"146",1,1929,"Coahoma","622",265397
"147",1,1931,"Coahoma","622",143373
"148",0,1931,"Jones","119",26428
"149",0,1931,"Kemper","119",39050
"150",0,1929,"Warren","136",21955
"151",0,1931,"Harrison","136",27319
"152",0,1929,"Harrison","136",48208
"153",0,1931,"Harrison","136",22640
"154",0,1931,"Lauderdale","1624",32400
"155",0,1931,"Hinds","1677",19839
"156",1,1931,"Webster","119",5904
"157",0,1929,"Hinds","1005",75014
"158",0,1931,"Jefferson Davis","119",7558
"159",0,1929,"Newton","118",25000
"160",0,1931,"Newton","118",8700
"161",1,1931,"Washington","1677",16451
"162",0,1931,"Stone","317",23232
"163",0,1929,"Forrest","520",29082
"164",0,1931,"Forrest","520",21043
"165",1,1929,"Washington","119",72866
"166",1,1931,"Washington","119",50488
"167",1,1929,"Washington","622",1005640
"168",1,1931,"Washington","622",466637
"169",1,1929,"Grenada","101",54857
"170",1,1931,"Grenada","101",47735
"171",1,1929,"Grenada","622",418295
"172",1,1931,"Grenada","622",288773
"173",0,1931,"Lincoln","1677",10211
"174",0,1931,"Harrison","114",40313
"175",0,1931,"Harrison","104",229641
"176",1,1931,"Winston","1502",128535
"177",0,1931,"Harrison","1676",97755
"178",0,1929,"Harrison","520",29245
"179",0,1931,"Harrison","520",17679
"180",0,1931,"Jackson","317",14742
"181",0,1931,"Harrison","317",17649
"182",0,1929,"Harrison","119",9606
"183",0,1931,"Harrison","119",11940
"184",1,1929,"Lowndes","136",140000
"185",1,1931,"Lowndes","136",83321
"186",1,1929,"Alcorn","136",37340
"187",1,1931,"Alcorn","136",34046
"188",0,1929,"Lauderdale","136",141463
"189",0,1931,"Lauderdale","136",89810
"190",1,1929,"Lee","136",78201
"191",1,1931,"Lee","136",53877
"192",0,1931,"Copiah","1677",8888
"193",0,1929,"Forrest","651",1382919
"194",0,1931,"Forrest","101",117584
"195",0,1929,"Forrest","118",105303
"196",0,1931,"Forrest","118",45490
"197",0,1929,"Forrest","116",134500
"198",0,1931,"Forrest","114",96285
"199",0,1931,"Copiah","119",13600
"200",0,1929,"Copiah","622",934574
"201",0,1931,"Copiah","622",463549
"202",0,1929,"Hinds","520",195000
"203",0,1931,"Hinds","520",137500
"204",1,1929,"Washington","622",1172453
"205",1,1931,"Washington","622",797442
"206",1,1929,"Marshall","119",13950
"207",1,1931,"Marshall","119",10785
"208",1,1929,"Marshall","1014",16000
"209",1,1929,"Sunflower","136",79259
"210",1,1931,"Sunflower","136",30648
"211",0,1929,"Adams","136",20075
"212",0,1931,"Adams","136",16850
"213",1,1931,"Union","119",10369
"214",0,1931,"Lincoln","119",16000
"215",1,1931,"Lee","119",17696
"216",1,1929,"Chickasaw","101",51615
"217",0,1929,"Forrest","136",55423
"218",0,1931,"Forrest","136",39230
"219",1,1931,"Humphreys","622",206744
"220",0,1931,"Neshoba","119",12978
"221",0,1931,"Jackson","136",28014
"222",0,1931,"Pike","1502",1746029
"223",1,1929,"Noxubee","119",12000
"224",1,1931,"Noxubee","622",302142
"225",1,1929,"Sunflower","119",20090
"226",1,1931,"Sunflower","119",12535
"227",1,1931,"Alcorn","614",41847
"228",1,1931,"Lee","614",157814
"229",1,1929,"Washington","622",886033
"230",1,1931,"Washington","622",337418
"231",0,1931,"Lauderdale","520",32326
"232",0,1931,"Perry","317",80157
"233",1,1929,"Oktibbeha","216",166869
"234",0,1929,"Hinds","119",200779
"235",0,1931,"Hinds","119",157444
"236",0,1929,"Hinds","101",83000
"237",0,1931,"Hinds","101",30616
"238",0,1929,"Hinds","101",453052
"239",0,1931,"Hinds","101",374405
"240",0,1929,"Hinds","119",19000
"241",0,1931,"Hinds","119",12000
"242",0,1929,"Hinds","1014",46123
"243",0,1931,"Hinds","1014",28328
"244",0,1929,"Hinds","520",27723
"245",0,1931,"Hinds","520",42930
"246",0,1931,"Hinds","1676",136739
"247",0,1929,"Harrison","104",95800
"248",0,1931,"Harrison","104",74700
"249",0,1931,"Hinds","1677",7250
"250",1,1931,"Lee","1677",8897
"251",1,1931,"Bolivar","1677",16800
"252",1,1931,"Monroe","103",166080
"253",0,1929,"Warren","136",158366
"254",0,1931,"Warren","136",97248
"255",0,1931,"Hinds","1677",19872
"256",1,1929,"Attala","103",122737
"257",1,1931,"Attala","103",56250
"258",1,1929,"Attala","119",30000
"259",1,1931,"Attala","119",8000
"260",0,1929,"Harrison","136",139676
"261",0,1931,"Harrison","136",90078
"262",0,1931,"Yazoo","1677",6783
"263",0,1929,"Jones","101",126987
"264",0,1931,"Jones","101",91388
"265",0,1929,"Jones","651",264879
"266",0,1931,"Jones","633",169266.27
"267",0,1929,"Jones","622",1108555
"268",0,1931,"Jones","622",695457
"269",1,1929,"Leflore","520",50294
"270",1,1931,"Leflore","520",28857
"271",1,1929,"Leflore","622",539219
"272",1,1931,"Leflore","622",309650
"273",1,1931,"Washington","119",16337
"274",1,1929,"Washington","622",1703022
"275",1,1931,"Washington","622",870304
"276",1,1929,"Holmes","101",59950
"277",1,1931,"Holmes","101",30848
"278",1,1929,"Holmes","103",64914
"279",1,1931,"Holmes","103",26912
"280",1,1929,"Winston","101",27890
"281",1,1931,"Winston","101",33954
"282",0,1931,"Greene","317",23240
"283",0,1929,"George","105",265785
"284",0,1931,"George","105",96834
"285",1,1929,"Monroe","136",19655
"286",1,1931,"Monroe","136",12493
"287",1,1929,"Noxubee","103",64907
"288",1,1931,"Noxubee","103",40059
"289",0,1931,"Hinds","1677",48782
"290",0,1929,"Pike","622",276616
"291",0,1931,"Pike","622",309448
"292",1,1929,"Quitman","119",13670
"293",1,1931,"Quitman","119",6275
"294",0,1929,"Forrest","136",306514
"295",0,1931,"Forrest","136",105199
"296",0,1929,"Harrison","104",96498
"297",0,1931,"Harrison","104",62250
"298",0,1929,"Jones","105",158810
"299",0,1931,"Jones","105",103494
"300",0,1929,"Pike","119",243061
"301",0,1931,"Pike","119",300151
"302",0,1929,"Pike","101",81711
"303",0,1931,"Pike","101",67510
"304",0,1929,"Pike","118",51808
"305",0,1931,"Pike","118",36840
"306",0,1931,"Pike","101",18161
"307",1,1929,"Coahoma","101",35000
"308",0,1931,"Pike","116",52237
"309",0,1931,"Hancock","317",16000
"310",0,1929,"Jones","136",90000
"311",0,1931,"Jones","136",59100
"312",0,1929,"Warren","136",5160
"313",0,1931,"Warren","136",33593
"314",0,1929,"Lauderdale","101",98000
"315",0,1931,"Lauderdale","101",42195
"316",0,1929,"Lauderdale","119",141464
"317",0,1931,"Lauderdale","119",120895
"318",0,1929,"Lauderdale","101",311173
"319",0,1931,"Lauderdale","101",224044
"320",0,1931,"Forrest","614",223921
"321",0,1931,"Lauderdale","614",256929
"322",0,1929,"Lauderdale","114",1601726
"323",0,1931,"Lauderdale","114",786839
"324",1,1931,"Leflore","622",670571
"325",0,1931,"Harrison","104",88000
"326",0,1929,"Hinds","622",118968
"327",0,1931,"Hinds","622",638170
"328",0,1929,"Harrison","119",73126
"329",0,1931,"Harrison","119",77872
"330",0,1929,"Harrison","119",80536
"331",0,1931,"Harrison","119",59097
"332",1,1929,"Bolivar","119",21896
"333",1,1931,"Bolivar","119",18197
"334",1,1931,"Leflore","119",53842
"335",0,1931,"Walthall","119",10081
"336",0,1929,"Warren","520",100529
"337",0,1931,"Warren","520",72316
"338",1,1929,"Winston","119",25891
"339",1,1931,"Winston","119",18345
"340",0,1931,"Warren","1677",17316
"341",0,1929,"Hinds","119",130000
"342",0,1931,"Hinds","119",60000
"343",0,1929,"Adams","101",132956
"344",0,1931,"Adams","101",98647
"345",0,1929,"Adams","136",102140
"346",0,1931,"Adams","136",73300
"347",0,1929,"Adams","119",73828
"348",0,1931,"Adams","119",35085
"349",0,1929,"Adams","520",25000
"350",0,1931,"Adams","520",19177
"351",0,1929,"Hinds","101",55000
"352",0,1931,"Hinds","101",25600
"353",0,1929,"Warren","101",35806
"354",0,1931,"Warren","101",19426
"355",1,1931,"Attala","101",8500
"356",1,1929,"Bolivar","101",33858
"357",1,1931,"Bolivar","101",9700
"358",0,1929,"Jones","101",57892
"359",0,1931,"Jones","101",21730
"360",1,1929,"Lafayette","119",14891
"361",1,1931,"Lafayette","119",9075
"362",0,1929,"Newton","119",16386
"363",0,1931,"Newton","119",11084
"364",0,1929,"Newton","101",81532
"365",0,1931,"Forrest","317",81637
"366",0,1931,"Newton","614",100969
"367",0,1931,"Forrest","1677",8600
"368",1,1931,"Leflore","101",11679
"369",0,1931,"Jones","1676",27728
"370",0,1929,"Jones","520",7416
"371",0,1931,"Jones","520",6506
"372",0,1931,"Hinds","1677",10500
"373",0,1929,"Marion","118",22200
"374",0,1931,"Marion","118",15457
"375",0,1931,"Lauderdale","1677",8636
"376",0,1931,"Rankin","119",7000
"377",0,1929,"Neshoba","101",42288
"378",0,1931,"Neshoba","101",18112
"379",0,1931,"Forrest","1677",15032
"380",0,1931,"Pearl River","101",25724
"381",0,1931,"Pearl River","119",9500
"382",1,1929,"Coahoma","622",2328304
"383",1,1931,"Coahoma","622",1513580
"384",1,1929,"Sunflower","622",583904
"385",1,1931,"Sunflower","622",405159
"386",0,1931,"Yazoo","622",358356
"387",1,1929,"Attala","622",537249
"388",1,1931,"Attala","622",250162
"389",1,1929,"Tunica","622",384059
"390",1,1931,"Tunica","622",402588
"391",1,1929,"Leflore","622",1743234
"392",1,1931,"Leflore","622",832475
"393",0,1929,"Jefferson Davis","136",10000
"394",0,1929,"Marion","119",24105
"395",0,1931,"Marion","119",17352
"396",1,1929,"Alcorn","119",24300
"397",0,1931,"Adams","119",9975
"398",1,1929,"Pontotoc","622",303182
"399",1,1931,"Pontotoc","622",235249
"400",1,1929,"Pontotoc","119",12257
"401",1,1931,"Pontotoc","119",5745
"402",0,1929,"Claiborne","622",1063190
"403",0,1931,"Claiborne","622",893210
"404",0,1931,"Hinds","520",22424
"405",0,1929,"Hinds","136",52500
"406",0,1931,"Hinds","136",36685
"407",1,1931,"Alcorn","1676",34000
"408",0,1931,"Lauderdale","1604",28203
"409",1,1931,"Lowndes","119",17525
"410",0,1931,"Lauderdale","1677",18252
"411",0,1929,"Perry","119",11094
"412",0,1931,"Perry","119",5760
"413",1,1931,"Tippah","119",7406
"414",0,1929,"Sharkey","119",10959
"415",0,1931,"Sharkey","119",9000
"416",1,1929,"Washington","119",26137
"417",1,1931,"Bolivar","119",13184
"418",1,1931,"Bolivar","1676",11700
"419",0,1929,"Lauderdale","114",861940
"420",0,1931,"Lauderdale","114",804438
"421",1,1929,"Sunflower","119",16000
"422",1,1931,"Sunflower","119",9870
"423",0,1929,"Adams","112",102326
"424",0,1931,"Adams","112",61022
"425",1,1929,"Panola","103",83292
"426",1,1931,"Panola","103",44336
"427",0,1929,"Jackson","136",17976
"428",0,1931,"Jackson","136",5504
"429",0,1929,"Madison","136",6540
"430",0,1931,"Madison","136",5612
"431",1,1929,"Tate","119",12000
"432",1,1931,"Tate","119",10200
"433",1,1929,"Bolivar","622",395841
"434",1,1931,"Bolivar","622",260793
"435",1,1931,"Leflore","1677",16941
"436",0,1931,"Sharkey","1677",8093
"437",0,1929,"Jones","136",53344
"438",0,1931,"Jones","136",197203
"439",0,1929,"Lauderdale","136",128210
"440",0,1931,"Lauderdale","136",181280
"441",0,1929,"Jones","520",27954
"442",0,1931,"Jones","520",19849
"443",0,1931,"Jackson","1676",15000
"444",0,1931,"Hinds","622",498783
"445",1,1929,"Grenada","136",24406
"446",1,1931,"Grenada","136",12520
"447",1,1931,"Grenada","1677",15556
"448",1,1929,"Oktibbeha","101",44818
"449",1,1931,"Oktibbeha","101",29588
"450",0,1931,"Clarke","216",1260251
"451",1,1929,"Sunflower","622",539528
"452",1,1931,"Sunflower","622",324613
"453",1,1931,"Coahoma","1676",68943
"454",0,1931,"Lauderdale","136",24085
"455",0,1929,"Harrison","136",42698
"456",0,1931,"Harrison","136",34832
"457",0,1929,"Hinds","136",13025
"458",0,1931,"Hinds","136",12460
"459",1,1931,"Leflore","1303",240000
"460",1,1929,"Tallahatchie","119",14135
"461",1,1931,"Tallahatchie","119",7812
"462",1,1929,"Tallahatchie","622",949014
"463",1,1931,"Tallahatchie","622",383145
"464",1,1931,"Leflore","520",8592
"465",1,1929,"Attala","515",11471
"466",0,1929,"Hinds","114",1452700
"467",0,1931,"Hinds","114",443456
"468",1,1929,"Washington","136",45000
"469",0,1929,"Jones","114",1551000
"470",0,1931,"Jones","114",1053557
"471",0,1929,"Harrison","112",15100
"472",0,1931,"Harrison","112",10491
"473",1,1929,"Alcorn","520",21000
"474",1,1931,"Alcorn","520",15763
"475",1,1929,"Bolivar","622",761607
"476",1,1931,"Bolivar","622",258361
"477",0,1929,"Warren","622",618483
"478",0,1931,"Warren","622",271584
"479",0,1929,"Harrison","136",57000
"480",0,1931,"Harrison","136",45773
"481",0,1931,"Amite","105",5350
"482",1,1931,"Tunica","1677",7171
"483",1,1931,"Lee","216",770149
"484",1,1929,"Lee","119",44490
"485",1,1931,"Lee","119",27373
"486",1,1931,"Lee","1676",34115
"487",0,1929,"Newton","622",68480
"488",0,1931,"Newton","622",89776
"489",0,1931,"Warren","1676",183356
"490",1,1929,"Monroe","118",18812
"491",1,1931,"Monroe","118",8924
"492",1,1929,"Grenada","520",16381
"493",1,1931,"Grenada","520",10396
"494",1,1931,"Yalobusha","1676",16362
"495",1,1929,"Clay","101",37913
"496",1,1931,"Clay","622",202262
"497",1,1929,"Clay","119",21696
"498",1,1931,"Clay","119",17000
"499",1,1929,"Clay","622",164795
"500",1,1931,"Clay","101",26957
"501",1,1929,"Clay","136",42000
"502",1,1931,"Clay","136",21600
"503",1,1931,"Montgomery","614",10471
"504",1,1929,"Montgomery","622",227844
"505",1,1931,"Montgomery","622",184745
"506",0,1929,"Yazoo","119",50525
"507",0,1931,"Yazoo","119",32993
"508",0,1929,"Yazoo","101",77958
"509",0,1931,"Yazoo","101",52487
"510",1,1931,"Chickasaw","136",10000
"511",0,1931,"Hinds","614",391046
"512",1,1929,"Prentiss","119",13967
"513",1,1931,"Prentiss","119",10253
"514",1,1931,"Holmes","1502",51399
"515",0,1929,"Warren","520",20712
"516",0,1931,"Warren","520",18611
"517",1,1931,"Lee","101",23438
"518",1,1929,"Coahoma","118",88118
"519",1,1931,"Coahoma","118",29000
"520",1,1929,"Lee","118",85218
"521",1,1931,"Lee","118",45939
"522",0,1929,"Adams","101",18918
"523",0,1931,"Adams","101",12650
"524",0,1929,"Harrison","118",53100
"525",0,1931,"Harrison","118",28773
"526",0,1931,"Stone","105",411939
"527",0,1929,"Harrison","104",12523
"528",0,1931,"Harrison","104",35598
"529",1,1929,"Grenada","118",19736
"530",1,1931,"Grenada","118",5460
"531",1,1929,"Lowndes","119",29200
"532",1,1931,"Lowndes","119",27856
"533",0,1929,"Warren","119",73500
"534",0,1931,"Warren","119",64578
"535",1,1931,"Bolivar","1676",25000
"536",1,1931,"Alcorn","622",441417
"537",0,1929,"Hinds","622",68795
"538",0,1931,"Hinds","622",344620
"539",1,1929,"Yalobusha","136",54000
"540",1,1931,"Yalobusha","136",8400
"541",1,1931,"Noxubee","111",430013
"542",0,1931,"Hinds","1676",48782
"543",0,1931,"Hancock","136",8000
"544",0,1931,"Greene","317",15770
"545",0,1931,"Hinds","1677",16125
"546",1,1931,"Montgomery","1677",7500
"547",0,1931,"Greene","119",5500
"548",1,1929,"Choctaw","101",36147
"549",1,1931,"Choctaw","101",17275
"550",0,1929,"Madison","118",20000
"551",0,1931,"Madison","118",10000
"552",0,1931,"Neshoba","1677",6026
"553",1,1929,"Grenada","119",28000
"554",1,1931,"Grenada","119",32325
"555",0,1929,"Jones","119",32259
"556",1,1931,"Lee","103",56588
"557",0,1929,"Wilkinson","101",26591
"558",0,1931,"Wilkinson","101",16284
"559",1,1929,"Yalobusha","107",164546
"560",1,1931,"Yalobusha","107",65957
"561",0,1929,"Copiah","304",25000
"562",1,1931,"Yalobusha","118",6821
"563",0,1931,"Pike","1676",48478
"564",1,1931,"Leflore","1676",46698
"565",1,1931,"Washington","1502",5477
"566",0,1931,"Harrison","1677",51151
"567",0,1929,"Yazoo","136",43755
"568",0,1931,"Yazoo","136",27825
"569",0,1931,"Lauderdale","1676",41327
"570",1,1929,"Lee","622",352722
"571",1,1931,"Lee","622",232188
"572",0,1929,"Hinds","1005",72325
"573",0,1931,"Adams","118",5700
"574",0,1931,"Warren","128",7800
"575",1,1929,"Noxubee","111",307817
"576",1,1931,"Oktibbeha","111",941443
"577",0,1931,"Lauderdale","1676",86935
"578",0,1931,"Lamar","119",7866
"579",1,1931,"Tunica","119",11542
"580",0,1931,"Simpson","317",13700
"581",0,1929,"Newton","107",81196
"582",0,1931,"Newton","107",87420
"583",0,1931,"Forrest","1676",56698
"584",0,1931,"Harrison","1677",8000
"585",1,1929,"Holmes","103",54917
"586",1,1931,"Holmes","103",32586
"587",0,1929,"Hinds","203",22000
"588",0,1931,"Hinds","203",9700
"589",1,1929,"Chickasaw","119",40000
"590",1,1931,"Chickasaw","119",10000
"591",1,1929,"Lowndes","622",400829
"592",1,1931,"Lowndes","622",276747
"593",0,1929,"Lauderdale","118",37200
"594",0,1931,"Lauderdale","118",24898
"595",1,1931,"Chickasaw","1677",5831
"596",0,1931,"Adams","110",8500
"597",1,1929,"Lee","111",809857
"598",1,1931,"Lee","111",557267
"599",0,1931,"Wayne","317",9650
"600",0,1931,"Jones","1502",92271
"601",0,1931,"Scott","119",5512
"602",0,1931,"Forrest","119",75000
"603",0,1931,"Hinds","622",1744127
"604",0,1931,"Forrest","520",17231
"605",1,1929,"Coahoma","101",30213
"606",1,1931,"Coahoma","101",5919
"607",0,1929,"Lincoln","118",22025
"608",0,1931,"Lincoln","118",13200
"609",0,1929,"Forrest","622",164809
